# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2013-07-12 09:51:29 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03298500 SALT RIVER AT SHEPHERDSVILLE, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03298500
#    DD parameter statistic   Description
#    05   00060     00003     Discharge, cubic feet per second (Mean)
#    08   80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#    09   80155     00003     Suspended sediment discharge, tons per day (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	05_00060_00003	05_00060_00003_cd	08_80154_00003	08_80154_00003_cd	09_80155_00003	09_80155_00003_cd
USGS	03298500	1955-02-04	1140	A	152	A	468	A
USGS	03298500	1955-02-05	2870	A	303	A	4670	A
USGS	03298500	1955-02-06	17300	A	1530	A	71500	A
USGS	03298500	1955-02-07	21500	A	1050	A	61000	A
USGS	03298500	1955-02-08	15800	A	479	A	22100	A
USGS	03298500	1955-02-09	6450	A	246	A	4280	A
USGS	03298500	1955-02-10	2700	A	119	A	868	A
USGS	03298500	1955-02-11	2360	A	67	A	427	A
USGS	03298500	1955-02-12	1920	A	65	A	337	A
USGS	03298500	1955-02-13	1270	A	56	A	192	A
USGS	03298500	1955-02-14	1310	A	49	A	173	A
USGS	03298500	1955-02-15	1200	A	38	A	123	A
USGS	03298500	1955-02-16	1520	A	56	A	277	A
USGS	03298500	1955-02-17	3500	A	372	A	3520	A
USGS	03298500	1955-02-18	2560	A	206	A	1420	A
USGS	03298500	1955-02-19	1760	A	99	A	470	A
USGS	03298500	1955-02-20	1460	A	68	A	268	A
USGS	03298500	1955-02-21	7490	A	950	A	25000	A
USGS	03298500	1955-02-22	20900	A	1290	A	72800	A
USGS	03298500	1955-02-23	17100	A	790	A	36500	A
USGS	03298500	1955-02-24	7910	A	265	A	6150	A
USGS	03298500	1955-02-25	3340	A	131	A	1180	A
USGS	03298500	1955-02-26	3860	A	170	A	2230	A
USGS	03298500	1955-02-27	17500	A	1300	A	64000	A
USGS	03298500	1955-02-28	19800	A	1440	A	77000	A
USGS	03298500	1955-03-01	18000	A	1070	A	52000	A
USGS	03298500	1955-03-02	11400	A	760	A	23400	A
USGS	03298500	1955-03-03	5560	A	255	A	4240	A
USGS	03298500	1955-03-04	4200	A	226	A	3240	A
USGS	03298500	1955-03-05	9660	A	1700	A	44300	A
USGS	03298500	1955-03-06	11900	A	1760	A	56500	A
USGS	03298500	1955-03-07	7890	A	776	A	18100	A
USGS	03298500	1955-03-08	2650	A	202	A	1440	A
USGS	03298500	1955-03-09	1770	A	73	A	349	A
USGS	03298500	1955-03-10	1600	A	60	A	259	A
USGS	03298500	1955-03-11	1270	A	45	A	154	A
USGS	03298500	1955-03-12	2250	A	32	A	194	A
USGS	03298500	1955-03-13	1200	A	23	A	74	A
USGS	03298500	1955-03-14	1400	A	22	A	83	A
USGS	03298500	1955-03-15	5630	A	296	A	6560	A
USGS	03298500	1955-03-16	13600	A	2300	A	84400	A
USGS	03298500	1955-03-17	8760	A	1600	A	37800	A
USGS	03298500	1955-03-18	3620	A	335	A	3270	A
USGS	03298500	1955-03-19	2950	A	170	A	1350	A
USGS	03298500	1955-03-20	2460	A	262	A	1950	A
USGS	03298500	1955-03-21	14800	A	1650	A	65900	A
USGS	03298500	1955-03-22	19800	A	1110	A	59300	A
USGS	03298500	1955-03-23	11800	A	475	A	15100	A
USGS	03298500	1955-03-24	5670	A	216	A	3310	A
USGS	03298500	1955-03-25	2870	A	81	A	628	A
USGS	03298500	1955-03-26	2240	A	48	A	290	A
USGS	03298500	1955-03-27	2120	A	48	A	275	A
USGS	03298500	1955-03-28	2090	A	68	A	384	A
USGS	03298500	1955-03-29	1770	A	78	A	373	A
USGS	03298500	1955-03-30	1140	A	103	A	317	A
USGS	03298500	1955-03-31	874	A	57	A	134	A
USGS	03298500	1955-04-01	746	A	39	A	78	A
USGS	03298500	1955-04-02	650	A	38	A	67	A
USGS	03298500	1955-04-03	587	A	40	A	63	A
USGS	03298500	1955-04-04	510	A	36	A	50	A
USGS	03298500	1955-04-05	445	A	35	A	42	A
USGS	03298500	1955-04-06	608	A	50	A	82	A
USGS	03298500	1955-04-07	658	A	48	A	85	A
USGS	03298500	1955-04-08	468	A	47	A	59	A
USGS	03298500	1955-04-09	375	A	53	A	54	A
USGS	03298500	1955-04-10	330	A	42	A	37	A
USGS	03298500	1955-04-11	474	A	47	A	60	A
USGS	03298500	1955-04-12	922	A	72	A	179	A
USGS	03298500	1955-04-13	1980	A	200	A	1100	A
USGS	03298500	1955-04-14	1470	A	295	A	1170	A
USGS	03298500	1955-04-15	914	A	181	A	447	A
USGS	03298500	1955-04-16	658	A	73	A	130	A
USGS	03298500	1955-04-17	517	A	58	A	81	A
USGS	03298500	1955-04-18	440	A	50	A	59	A
USGS	03298500	1955-04-19	375	A	43	A	44	A
USGS	03298500	1955-04-20	325	A	36	A	32	A
USGS	03298500	1955-04-21	320	A	40	A	34	A
USGS	03298500	1955-04-22	370	A	47	A	47	A
USGS	03298500	1955-04-23	1040	A	600	A	3100	A
USGS	03298500	1955-04-24	7770	A	2620	A	55000	A
USGS	03298500	1955-04-25	6110	A	1530	A	27400	A
USGS	03298500	1955-04-26	2240	A	430	A	2600	A
USGS	03298500	1955-04-27	1560	A	145	A	611	A
USGS	03298500	1955-04-28	1190	A	76	A	244	A
USGS	03298500	1955-04-29	938	A	53	A	134	A
USGS	03298500	1955-04-30	706	A	42	A	80	A
USGS	03298500	1955-05-01	545	A	47	A	69	A
USGS	03298500	1955-05-02	440	A	42	A	50	A
USGS	03298500	1955-05-03	365	A	42	A	41	A
USGS	03298500	1955-05-04	315	A	40	A	34	A
USGS	03298500	1955-05-05	268	A	32	A	23	A
USGS	03298500	1955-05-06	231	A	27	A	17	A
USGS	03298500	1955-05-07	196	A	24	A	13	A
USGS	03298500	1955-05-08	165	A	34	A	15	A
USGS	03298500	1955-05-09	140	A	40	A	15	A
USGS	03298500	1955-05-10	134	A	38	A	14	A
USGS	03298500	1955-05-11	192	A	37	A	19	A
USGS	03298500	1955-05-12	188	A	46	A	23	A
USGS	03298500	1955-05-13	1050	A			3400	A
USGS	03298500	1955-05-14	6950	A	2860	A	3700	A
USGS	03298500	1955-05-15	3060	A	751	A	7870	A
USGS	03298500	1955-05-16	1210	A	188	A	614	A
USGS	03298500	1955-05-17	794	A	98	A	210	A
USGS	03298500	1955-05-18	531	A	74	A	106	A
USGS	03298500	1955-05-19	395	A	65	A	69	A
USGS	03298500	1955-05-20	305	A	55	A	45	A
USGS	03298500	1955-05-21	251	A	48	A	32	A
USGS	03298500	1955-05-22	300	A	41	A	33	A
USGS	03298500	1955-05-23	310	A	42	A	35	A
USGS	03298500	1955-05-24	305	A	48	A	40	A
USGS	03298500	1955-05-25	2880	A			7600	A
USGS	03298500	1955-05-26	1960	A	871	A	5210	A
USGS	03298500	1955-05-27	746	A	238	A	479	A
USGS	03298500	1955-05-28	450	A	128	A	156	A
USGS	03298500	1955-05-29	1240	A	200	A	700	A
USGS	03298500	1955-05-30	818	A	243	A	537	A
USGS	03298500	1955-05-31	858	A	145	A	336	A
USGS	03298500	1955-06-01	425	A	121	A	139	A
USGS	03298500	1955-06-02	282	A	110	A	84	A
USGS	03298500	1955-06-03	207	A	81	A	45	A
USGS	03298500	1955-06-04	158	A	67	A	28	A
USGS	03298500	1955-06-05	124	A	48	A	16	A
USGS	03298500	1955-06-06	100	A	38	A	10	A
USGS	03298500	1955-06-07	196	A	251	A	202	A
USGS	03298500	1955-06-08	3630	A	2180	A	21400	A
USGS	03298500	1955-06-09	1580	A	433	A	1980	A
USGS	03298500	1955-06-10	1270	A	138	A	473	A
USGS	03298500	1955-06-11	1920	A			1700	A
USGS	03298500	1955-06-12	2490	A	368	A	2470	A
USGS	03298500	1955-06-13	1800	A	225	A	1090	A
USGS	03298500	1955-06-14	1390	A	123	A	462	A
USGS	03298500	1955-06-15	1150	A	87	A	270	A
USGS	03298500	1955-06-16	1150	A	80	A	248	A
USGS	03298500	1955-06-17	770	A	77	A	160	A
USGS	03298500	1955-06-18	504	A	61	A	83	A
USGS	03298500	1955-06-19	365	A	52	A	51	A
USGS	03298500	1955-06-20	300	A	55	A	44	A
USGS	03298500	1955-06-21	435	A	65	A	76	A
USGS	03298500	1955-06-22	330	A	73	A	65	A
USGS	03298500	1955-06-23	192	A	46	A	24	A
USGS	03298500	1955-06-24	560	A	180	A	240	A
USGS	03298500	1955-06-25	410	A	227	A	251	A
USGS	03298500	1955-06-26	400	A	117	A	126	A
USGS	03298500	1955-06-27	340	A	98	A	90	A
USGS	03298500	1955-06-28	227	A	65	A	40	A
USGS	03298500	1955-06-29	151	A	39	A	16	A
USGS	03298500	1955-06-30	118	A	25	A	8.0	A
USGS	03298500	1955-07-01	86	A	33	A	8.0	A
USGS	03298500	1955-07-02	67	A	22	A	4.0	A
USGS	03298500	1955-07-03	54	A	23	A	3.0	A
USGS	03298500	1955-07-04	80	A	30	A	6.0	A
USGS	03298500	1955-07-05	336	A			100	A
USGS	03298500	1955-07-06	231	A	83	A	52	A
USGS	03298500	1955-07-07	165	A	122	A	54	A
USGS	03298500	1955-07-08	235	A	207	A	131	A
USGS	03298500	1955-07-09	945	A			1700	A
USGS	03298500	1955-07-10	1810	A			3800	A
USGS	03298500	1955-07-11	1380	A	766	A	3050	A
USGS	03298500	1955-07-12	468	A	362	A	457	A
USGS	03298500	1955-07-13	278	A	220	A	165	A
USGS	03298500	1955-07-14	180	A	121	A	59	A
USGS	03298500	1955-07-15	158	A	90	A	38	A
USGS	03298500	1955-07-16	124	A	85	A	28	A
USGS	03298500	1955-07-17	1010	A			2600	A
USGS	03298500	1955-07-18	2300	A	800	A	5800	A
USGS	03298500	1955-07-19	4500	A	1520	A	18500	A
USGS	03298500	1955-07-20	4130	A	1350	A	15000	A
USGS	03298500	1955-07-21	2390	A	562	A	3940	A
USGS	03298500	1955-07-22	1190	A	255	A	819	A
USGS	03298500	1955-07-23	1010	A	195	A	532	A
USGS	03298500	1955-07-24	1240	A	308	A	1550	A
USGS	03298500	1955-07-25	2680	A	1400	A	11200	A
USGS	03298500	1955-07-26	1150	A	345	A	1070	A
USGS	03298500	1955-07-27	1920	A	540	A	2800	A
USGS	03298500	1955-07-28	1230	A	350	A	1400	A
USGS	03298500	1955-07-29	1490	A	441	A	1770	A
USGS	03298500	1955-07-30	1160	A	207	A	694	A
USGS	03298500	1955-07-31	504	A	117	A	159	A
USGS	03298500	1955-08-01	305	A	125	A	103	A
USGS	03298500	1955-08-02	211	A	95	A	54	A
USGS	03298500	1955-08-03	140	A	58	A	22	A
USGS	03298500	1955-08-04	111	A	43	A	13	A
USGS	03298500	1955-08-05	232	A			90	A
USGS	03298500	1955-08-06	310	A	130	A	120	A
USGS	03298500	1955-08-07	144	A	102	A	40	A
USGS	03298500	1955-08-08	118	A	106	A	34	A
USGS	03298500	1955-08-09	91	A	79	A	19	A
USGS	03298500	1955-08-10	124	A			30	A
USGS	03298500	1955-08-11	420	A	114	A	129	A
USGS	03298500	1955-08-12	486	A	102	A	134	A
USGS	03298500	1955-08-13	400	A	98	A	106	A
USGS	03298500	1955-08-14	231	A	90	A	56	A
USGS	03298500	1955-08-15	130	A	75	A	26	A
USGS	03298500	1955-08-16	104	A	60	A	18	A
USGS	03298500	1955-08-17	214	A	80	A	50	A
USGS	03298500	1955-08-18	69	A	61	A	11	A
USGS	03298500	1955-08-19	47	A	56	A	7.0	A
USGS	03298500	1955-08-20	36	A	36	A	3.0	A
USGS	03298500	1955-08-21	29	A	33	A	2.0	A
USGS	03298500	1955-08-22	24	A	32	A	1.0	A
USGS	03298500	1955-08-23	21	A	20	A	0.00	A
USGS	03298500	1955-08-24	16	A			0.00	A
USGS	03298500	1955-08-25	14	A			0.00	A
USGS	03298500	1955-08-26	13	A			0.00	A
USGS	03298500	1955-08-27	11	A			0.00	A
USGS	03298500	1955-08-28	15	A			0.00	A
USGS	03298500	1955-08-29	16	A			0.00	A
USGS	03298500	1955-08-30	15	A			0.00	A
USGS	03298500	1955-08-31	15	A			0.00	A
USGS	03298500	1955-09-01	13	A			0.00	A
USGS	03298500	1955-09-02	9.6	A			0.00	A
USGS	03298500	1955-09-03	7.2	A			0.00	A
USGS	03298500	1955-09-04	6.4	A			0.00	A
USGS	03298500	1955-09-05	4.9	A			0.00	A
USGS	03298500	1955-09-06	3.6	A			0.00	A
USGS	03298500	1955-09-07	3.0	A	8	A	0.00	A
USGS	03298500	1955-09-08	2.5	A			0.00	A
USGS	03298500	1955-09-09	2.0	A			0.00	A
USGS	03298500	1955-09-10	1.2	A			0.00	A
USGS	03298500	1955-09-11	1.2	A			0.00	A
USGS	03298500	1955-09-12	1.0	A			0.00	A
USGS	03298500	1955-09-13	4.2	A	18	A	0.00	A
USGS	03298500	1955-09-14	9.6	A	43	A	1.0	A
USGS	03298500	1955-09-15	8.0	A			0.00	A
USGS	03298500	1955-09-16	6.4	A			0.00	A
USGS	03298500	1955-09-17	4.2	A			0.00	A
USGS	03298500	1955-09-18	3.0	A			0.00	A
USGS	03298500	1955-09-19	1.5	A			0.00	A
USGS	03298500	1955-09-20	1.0	A			0.00	A
USGS	03298500	1955-09-21	0.80	A			0.00	A
USGS	03298500	1955-09-22	3.0	A			1.0	A
USGS	03298500	1955-09-23	16	A	23	A	1.0	A
USGS	03298500	1955-09-24	38	A			1.0	A
USGS	03298500	1955-09-25	32	A			1.0	A
USGS	03298500	1955-09-26	25	A			1.0	A
USGS	03298500	1955-09-27	19	A			1.0	A
USGS	03298500	1955-09-28	13	A			1.0	A
USGS	03298500	1955-09-29	99	A			170	A
USGS	03298500	1955-09-30	2860	A	1300	A	10800	A
USGS	03298500	1955-10-01	682	A	382	A	741	A
USGS	03298500	1955-10-02	268	A	310	A	224	A
USGS	03298500	1955-10-03	207	A	152	A	85	A
USGS	03298500	1955-10-04	154	A	110	A	46	A
USGS	03298500	1955-10-05	94	A	84	A	21	A
USGS	03298500	1955-10-06	63	A	97	A	16	A
USGS	03298500	1955-10-07	1120	A	550	A	2100	A
USGS	03298500	1955-10-08	1330	A	506	A	1990	A
USGS	03298500	1955-10-09	456	A	180	A	222	A
USGS	03298500	1955-10-10	251	A	133	A	90	A
USGS	03298500	1955-10-11	154	A	116	A	48	A
USGS	03298500	1955-10-12	118	A	106	A	34	A
USGS	03298500	1955-10-13	184	A	120	A	60	A
USGS	03298500	1955-10-14	165	A	92	A	41	A
USGS	03298500	1955-10-15	127	A	89	A	30	A
USGS	03298500	1955-10-16	94	A	71	A	18	A
USGS	03298500	1955-10-17	83	A	67	A	15	A
USGS	03298500	1955-10-18	74	A	58	A	12	A
USGS	03298500	1955-10-19	63	A	53	A	9.0	A
USGS	03298500	1955-10-20	70	A	54	A	10	A
USGS	03298500	1955-10-21	67	A	48	A	9.0	A
USGS	03298500	1955-10-22	54	A	44	A	6.0	A
USGS	03298500	1955-10-23	47	A	36	A	4.0	A
USGS	03298500	1955-10-24	42	A	57	A	6.0	A
USGS	03298500	1955-10-25	38	A	49	A	5.0	A
USGS	03298500	1955-10-26	32	A	47	A	4.0	A
USGS	03298500	1955-10-27	29	A	59	A	5.0	A
USGS	03298500	1955-10-28	25	A	55	A	4.0	A
USGS	03298500	1955-10-29	28	A	50	A	4.0	A
USGS	03298500	1955-10-30	27	A	49	A	4.0	A
USGS	03298500	1955-10-31	25	A	45	A	3.0	A
USGS	03298500	1955-11-01	22	A	46	A	3.0	A
USGS	03298500	1955-11-02	885	A	410	A	1900	A
USGS	03298500	1955-11-03	2610	A	1010	A	7120	A
USGS	03298500	1955-11-04	1360	A	421	A	1640	A
USGS	03298500	1955-11-05	608	A	193	A	317	A
USGS	03298500	1955-11-06	355	A	112	A	107	A
USGS	03298500	1955-11-07	247	A	82	A	55	A
USGS	03298500	1955-11-08	184	A	66	A	33	A
USGS	03298500	1955-11-09	151	A	50	A	20	A
USGS	03298500	1955-11-10	124	A	44	A	15	A
USGS	03298500	1955-11-11	105	A	42	A	12	A
USGS	03298500	1955-11-12	88	A	41	A	10	A
USGS	03298500	1955-11-13	76	A	42	A	9.0	A
USGS	03298500	1955-11-14	70	A	39	A	7.0	A
USGS	03298500	1955-11-15	72	A	38	A	7.0	A
USGS	03298500	1955-11-16	322	A			280	A
USGS	03298500	1955-11-17	1350	A	370	A	1300	A
USGS	03298500	1955-11-18	914	A	210	A	557	A
USGS	03298500	1955-11-19	930	A	154	A	387	A
USGS	03298500	1955-11-20	946	A	110	A	281	A
USGS	03298500	1955-11-21	690	A	80	A	149	A
USGS	03298500	1955-11-22	545	A	61	A	90	A
USGS	03298500	1955-11-23	708	A	140	A	290	A
USGS	03298500	1955-11-24	866	A	130	A	304	A
USGS	03298500	1955-11-25	587	A	87	A	138	A
USGS	03298500	1955-11-26	468	A	97	A	122	A
USGS	03298500	1955-11-27	385	A	77	A	80	A
USGS	03298500	1955-11-28	296	A	73	A	58	A
USGS	03298500	1955-11-29	239	A	60	A	39	A
USGS	03298500	1955-11-30	192	A	40	A	21	A
USGS	03298500	1955-12-01	162	A	27	A	12	A
USGS	03298500	1955-12-02	500	A	110	A	190	A
USGS	03298500	1955-12-03	1090	A	201	A	735	A
USGS	03298500	1955-12-04	2790	A	1100	A	8290	A
USGS	03298500	1955-12-05	1960	A	725	A	4010	A
USGS	03298500	1955-12-06	1170	A	168	A	531	A
USGS	03298500	1955-12-07	824	A	95	A	211	A
USGS	03298500	1955-12-08	617	A	62	A	103	A
USGS	03298500	1955-12-09	493	A	37	A	49	A
USGS	03298500	1955-12-10	405	A	32	A	35	A
USGS	03298500	1955-12-11	325	A	27	A	24	A
USGS	03298500	1955-12-12	273	A	22	A	16	A
USGS	03298500	1955-12-13	231	A	15	A	9.0	A
USGS	03298500	1955-12-14	207	A	13	A	7.0	A
USGS	03298500	1955-12-15	203	A	10	A	5.0	A
USGS	03298500	1955-12-16	196	A	9	A	5.0	A
USGS	03298500	1955-12-17	180	A	6	A	3.0	A
USGS	03298500	1955-12-18	162	A	5	A	2.0	A
USGS	03298500	1955-12-19	180	A	7	A	3.0	A
USGS	03298500	1955-12-20	165	A	5	A	2.0	A
USGS	03298500	1955-12-21	147	A	7	A	3.0	A
USGS	03298500	1955-12-22	144	A	8	A	3.0	A
USGS	03298500	1955-12-23	137	A	5	A	2.0	A
USGS	03298500	1955-12-24	137	A	2	A	1.0	A
USGS	03298500	1955-12-25	147	A	3	A	1.0	A
USGS	03298500	1955-12-26	144	A	3	A	1.0	A
USGS	03298500	1955-12-27	134	A	3	A	1.0	A
USGS	03298500	1955-12-28	127	A	6	A	2.0	A
USGS	03298500	1955-12-29	118	A	6	A	2.0	A
USGS	03298500	1955-12-30	118	A	4	A	1.0	A
USGS	03298500	1955-12-31	108	A	2	A	1.0	A
USGS	03298500	1956-01-01	100	A	2	A	1.0	A
USGS	03298500	1956-01-02	94	A	3	A	1.0	A
USGS	03298500	1956-01-03	88	A	3	A	1.0	A
USGS	03298500	1956-01-04	86	A	2	A	0.00	A
USGS	03298500	1956-01-05	80	A	2	A	0.00	A
USGS	03298500	1956-01-06	78	A	2	A	0.00	A
USGS	03298500	1956-01-07	74	A	2	A	0.00	A
USGS	03298500	1956-01-08	72	A	2	A	0.00	A
USGS	03298500	1956-01-09	65	A	2	A	0.00	A
USGS	03298500	1956-01-10	61	A	5	A	1.0	A
USGS	03298500	1956-01-11	59	A	5	A	1.0	A
USGS	03298500	1956-01-12	63	A	6	A	1.0	A
USGS	03298500	1956-01-13	63	A	4	A	1.0	A
USGS	03298500	1956-01-14	61	A	2	A	0.00	A
USGS	03298500	1956-01-15	59	A	2	A	0.00	A
USGS	03298500	1956-01-16	59	A	2	A	0.00	A
USGS	03298500	1956-01-17	58	A	4	A	1.0	A
USGS	03298500	1956-01-18	58	A	6	A	1.0	A
USGS	03298500	1956-01-19	84	A	8	A	2.0	A
USGS	03298500	1956-01-20	235	A	7	A	4.0	A
USGS	03298500	1956-01-21	296	A	6	A	5.0	A
USGS	03298500	1956-01-22	340	A	9	A	8.0	A
USGS	03298500	1956-01-23	400	A	10	A	11	A
USGS	03298500	1956-01-24	410	A	11	A	12	A
USGS	03298500	1956-01-25	410	A	10	A	11	A
USGS	03298500	1956-01-26	405	A	12	A	13	A
USGS	03298500	1956-01-27	395	A	12	A	13	A
USGS	03298500	1956-01-28	345	A	40	A	40	A
USGS	03298500	1956-01-29	4500	A	1820	A	26700	A
USGS	03298500	1956-01-30	13400	A	1760	A	63700	A
USGS	03298500	1956-01-31	12600	A	1160	A	39500	A
USGS	03298500	1956-02-01	7270	A	375	A	7960	A
USGS	03298500	1956-02-02	15700	A	1140	A	53800	A
USGS	03298500	1956-02-03	21000	A	1380	A	78200	A
USGS	03298500	1956-02-04	15100	A	560	A	22800	A
USGS	03298500	1956-02-05	5240	A	205	A	2900	A
USGS	03298500	1956-02-06	3040	A	115	A	944	A
USGS	03298500	1956-02-07	4170	A	124	A	1400	A
USGS	03298500	1956-02-08	3520	A	108	A	1030	A
USGS	03298500	1956-02-09	2590	A	70	A	490	A
USGS	03298500	1956-02-10	984	A	62	A	165	A
USGS	03298500	1956-02-11	2220	A	76	A	456	A
USGS	03298500	1956-02-12	2530	A	120	A	820	A
USGS	03298500	1956-02-13	1780	A	76	A	365	A
USGS	03298500	1956-02-14	2500	A	397	A	3500	A
USGS	03298500	1956-02-15	14700	A	1140	A	45200	A
USGS	03298500	1956-02-16	19500	A	975	A	51300	A
USGS	03298500	1956-02-17	13400	A	330	A	11900	A
USGS	03298500	1956-02-18	19100	A	645	A	33300	A
USGS	03298500	1956-02-19	18900	A	370	A	18900	A
USGS	03298500	1956-02-20	8960	A	192	A	4640	A
USGS	03298500	1956-02-21	4080	A	72	A	793	A
USGS	03298500	1956-02-22	2180	A	42	A	247	A
USGS	03298500	1956-02-23	1260	A	23	A	78	A
USGS	03298500	1956-02-24	4510	A	82	A	1290	A
USGS	03298500	1956-02-25	9370	A	625	A	15800	A
USGS	03298500	1956-02-26	10800	A	1080	A	31500	A
USGS	03298500	1956-02-27	5160	A	420	A	5850	A
USGS	03298500	1956-02-28	3510	A	210	A	1990	A
USGS	03298500	1956-02-29	2250	A	129	A	784	A
USGS	03298500	1956-03-01	1570	A	87	A	369	A
USGS	03298500	1956-03-02	1370	A	66	A	244	A
USGS	03298500	1956-03-03	1290	A	50	A	174	A
USGS	03298500	1956-03-04	1170	A	50	A	115	A
USGS	03298500	1956-03-05	1180	A	36	A	115	A
USGS	03298500	1956-03-06	1120	A	45	A	136	A
USGS	03298500	1956-03-07	8710	A	1300	A	43000	A
USGS	03298500	1956-03-08	16400	A	1760	A	77900	A
USGS	03298500	1956-03-09	13300	A	675	A	24200	A
USGS	03298500	1956-03-10	5370	A	220	A	3400	A
USGS	03298500	1956-03-11	3000	A	104	A	842	A
USGS	03298500	1956-03-12	1960	A	54	A	286	A
USGS	03298500	1956-03-13	1940	A	48	A	251	A
USGS	03298500	1956-03-14	9880	A	682	A	20900	A
USGS	03298500	1956-03-15	9470	A	760	A	19400	A
USGS	03298500	1956-03-16	8930	A	340	A	8200	A
USGS	03298500	1956-03-17	9530	A	400	A	10300	A
USGS	03298500	1956-03-18	11400	A	195	A	6000	A
USGS	03298500	1956-03-19	4310	A	98	A	1140	A
USGS	03298500	1956-03-20	2070	A	57	A	318	A
USGS	03298500	1956-03-21	1830	A	30	A	148	A
USGS	03298500	1956-03-22	1690	A	14	A	64	A
USGS	03298500	1956-03-23	1420	A	14	A	54	A
USGS	03298500	1956-03-24	1400	A	30	A	113	A
USGS	03298500	1956-03-25	983	A	44	A	117	A
USGS	03298500	1956-03-26	1020	A	26	A	72	A
USGS	03298500	1956-03-27	910	A	25	A	61	A
USGS	03298500	1956-03-28	848	A	21	A	48	A
USGS	03298500	1956-03-29	824	A	30	A	67	A
USGS	03298500	1956-03-30	708	A	20	A	38	A
USGS	03298500	1956-03-31	594	A	17	A	27	A
USGS	03298500	1956-04-01	524	A	12	A	17	A
USGS	03298500	1956-04-02	782	A			300	A
