# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-13 17:56:35 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03401385 DAVIS BRANCH AT HIGHWAY 988 NEAR MIDDLESBORO, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03401385
#    DD parameter   Description
#    02   00065     Gage height, feet
#    03   00010     Temperature, water, degrees Celsius
#    04   00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#    05   00400     pH, water, unfiltered, field, standard units
#    06   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#    07   63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
#     ~  Value is a system interpolated value.  
# 
agency_cd	site_no	datetime	tz_cd	02_00065	02_00065_cd	03_00010	03_00010_cd	04_00300	04_00300_cd	05_00400	05_00400_cd	06_00095	06_00095_cd	07_63680	07_63680_cd
USGS	03401385	2014-03-08 10:45	EST	0.60	P	7.6	P	11.4	P	6.7	P	39	P	1	P
USGS	03401385	2014-03-08 11:00	EST	0.60	P	7.7	P	11.4	P	6.7	P	39	P	1	P
USGS	03401385	2014-03-08 11:15	EST	0.60	P	7.8	P	11.4	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 11:30	EST	0.60	P	8.0	P	11.4	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 11:45	EST	0.60	P	8.2	P	11.4	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 12:00	EST	0.60	P	8.4	P	11.4	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 12:15	EST	0.60	P	8.7	P	11.4	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 12:30	EST	0.59	P	8.9	P	11.4	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 12:45	EST	0.59	P	9.1	P	11.4	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 13:00	EST	0.60	P	9.3	P	11.3	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 13:15	EST	0.60	P	9.5	P	11.3	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 13:30	EST	0.60	P	9.8	P	11.3	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 13:45	EST	0.59	P	9.9	P	11.3	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 14:00	EST	0.59	P	10.1	P	11.2	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 14:15	EST	0.59	P	10.2	P	11.2	P	6.8	P	39	P	0.9	P
USGS	03401385	2014-03-08 14:30	EST	0.59	P	10.3	P	11.2	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 14:45	EST	0.59	P	10.4	P	11.2	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 15:00	EST	0.59	P	10.6	P	11.2	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 15:15	EST	0.59	P	10.6	P	11.1	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 15:30	EST	0.59	P	10.6	P	11.1	P	6.8	P	39	P	0.9	P
USGS	03401385	2014-03-08 15:45	EST	0.59	P	10.6	P	11.1	P	6.8	P	39	P	0.9	P
USGS	03401385	2014-03-08 16:00	EST	0.59	P	10.7	P	11.0	P	6.8	P	39	P	0.9	P
USGS	03401385	2014-03-08 16:15	EST	0.58	P	10.7	P	11.0	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 16:30	EST	0.58	P	10.7	P	11.0	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 16:45	EST	0.58	P	10.8	P	11.0	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 17:00	EST	0.58	P	10.8	P	10.9	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 18:15	EST	0.58	P	10.7	P	10.8	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 18:30	EST	0.58	P	10.7	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 18:45	EST	0.58	P	10.6	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 19:00	EST	0.58	P	10.6	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 19:15	EST	0.58	P	10.6	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 19:30	EST	0.58	P	10.6	P	10.7	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 19:45	EST	0.58	P	10.5	P	10.7	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 20:00	EST	0.58	P	10.5	P	10.7	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 20:15	EST	0.58	P	10.5	P	10.7	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 20:30	EST	0.58	P	10.5	P	10.7	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 20:45	EST	0.58	P	10.5	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 21:00	EST	0.58	P	10.4	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 21:15	EST	0.58	P	10.4	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 21:30	EST	0.58	P	10.4	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 21:45	EST	0.58	P	10.4	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 22:00	EST	0.58	P	10.4	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 22:15	EST	0.58	P	10.3	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 22:30	EST	0.58	P	10.3	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 22:45	EST	0.58	P	10.3	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-08 23:00	EST	0.58	P	10.3	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-09 00:00	EST	0.57	P:~	10.1	P:~	10.6	P:~	6.7	P:~	40	P:~	0.8	P:~
USGS	03401385	2014-03-09 00:15	EST	0.57	P	10.1	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-09 00:30	EST	0.57	P	10.1	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-09 00:45	EST	0.57	P	10.1	P	10.6	P	6.7	P	40	P	0.8	P
USGS	03401385	2014-03-09 01:00	EST	0.57	P	10.0	P	10.6	P	6.7	P	40	P	0.9	P
USGS	03401385	2014-03-09 03:15	EDT	0.57	P	9.9	P	10.6	P	6.7	P	40	P	0.9	P
USGS	03401385	2014-03-09 03:30	EDT	0.57	P	9.8	P	10.6	P	6.7	P	40	P	0.9	P
USGS	03401385	2014-03-09 03:45	EDT	0.57	P	9.8	P	10.6	P	6.7	P	40	P	0.9	P
USGS	03401385	2014-03-09 04:00	EDT	0.57	P	9.8	P	10.6	P	6.7	P	40	P	0.9	P
USGS	03401385	2014-03-09 04:15	EDT	0.57	P	9.7	P	10.6	P	6.7	P	40	P	0.9	P
USGS	03401385	2014-03-09 04:30	EDT	0.57	P	9.7	P	10.6	P	6.7	P	40	P	0.9	P
USGS	03401385	2014-03-09 04:45	EDT	0.57	P	9.7	P	10.6	P	6.7	P	40	P	1.0	P
USGS	03401385	2014-03-09 05:00	EDT	0.57	P	9.6	P	10.6	P	6.7	P	40	P	1.0	P
USGS	03401385	2014-03-09 05:15	EDT	0.56	P	9.6	P	10.6	P	6.7	P	40	P	1.1	P
USGS	03401385	2014-03-09 05:30	EDT	0.56	P	9.6	P	10.6	P	6.7	P	40	P	1.1	P
USGS	03401385	2014-03-09 05:45	EDT	0.56	P	9.5	P	10.6	P	6.6	P	40	P	1.1	P
USGS	03401385	2014-03-09 06:00	EDT	0.56	P	9.5	P	10.6	P	6.6	P	40	P	1.1	P
USGS	03401385	2014-03-09 06:15	EDT	0.56	P	9.4	P	10.6	P	6.6	P	40	P	1.1	P
USGS	03401385	2014-03-09 06:30	EDT	0.56	P	9.4	P	10.6	P	6.6	P	40	P	1.1	P
USGS	03401385	2014-03-09 06:45	EDT	0.55	P	9.4	P	10.6	P	6.6	P	40	P	1.1	P
USGS	03401385	2014-03-09 07:00	EDT	0.55	P	9.3	P	10.6	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-09 07:15	EDT	0.55	P	9.2	P	10.6	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-09 07:30	EDT	0.55	P	9.2	P	10.6	P	6.6	P	40	P	1.1	P
USGS	03401385	2014-03-09 07:45	EDT	0.55	P	9.1	P	10.6	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-09 08:00	EDT	0.56	P	9.1	P	10.6	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-09 08:15	EDT	0.56	P	9.1	P	10.7	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-09 08:30	EDT	0.57	P	9.0	P	10.7	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-09 08:45	EDT	0.57	P	9.0	P	10.7	P	6.6	P	40	P	1	P
USGS	03401385	2014-03-09 09:00	EDT	0.57	P	9.0	P	10.7	P	6.6	P	40	P	1	P
USGS	03401385	2014-03-09 09:15	EDT	0.57	P	8.9	P	10.7	P	6.6	P	40	P	1	P
USGS	03401385	2014-03-09 09:30	EDT	0.57	P	8.9	P	10.7	P	6.6	P	41	P	1	P
USGS	03401385	2014-03-09 09:45	EDT	0.57	P	8.9	P	10.7	P	6.6	P	41	P	0.9	P
USGS	03401385	2014-03-09 10:00	EDT	0.57	P	8.8	P	10.8	P	6.6	P	41	P	1	P
USGS	03401385	2014-03-09 10:15	EDT	0.57	P	8.8	P	10.8	P	6.6	P	41	P	0.9	P
USGS	03401385	2014-03-09 10:30	EDT	0.57	P	8.8	P	10.8	P	6.6	P	41	P	1.0	P
USGS	03401385	2014-03-09 10:45	EDT	0.57	P	8.7	P	10.8	P	6.6	P	41	P	0.9	P
USGS	03401385	2014-03-09 11:00	EDT	0.57	P	8.7	P	10.8	P	6.6	P	41	P	0.9	P
USGS	03401385	2014-03-09 11:15	EDT	0.56	P	8.7	P	10.9	P	6.7	P	41	P	0.9	P
USGS	03401385	2014-03-09 11:30	EDT	0.56	P	8.7	P	10.9	P	6.7	P	40	P	0.9	P
USGS	03401385	2014-03-09 11:45	EDT	0.56	P	8.7	P	11.0	P	6.7	P	40	P	0.9	P
