# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2013-07-02 22:10:40 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03290500 KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03290500
#    DD parameter   Description
#    02   00065     Gage height, feet
#    06   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	02_00065	02_00065_cd	06_00060	06_00060_cd
USGS	03290500	2013-06-25 12:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 12:15	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 12:30	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 12:45	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 13:00	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 13:15	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 13:30	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 13:45	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 14:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 14:15	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 14:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 14:45	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 15:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 15:15	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 15:30	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 15:45	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 16:00	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 16:15	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 16:30	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 16:45	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 17:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 17:15	EDT	9.65	P	2820	P
USGS	03290500	2013-06-25 17:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 17:45	EDT	9.65	P	2820	P
USGS	03290500	2013-06-25 18:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 18:15	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 18:30	EDT	9.65	P	2820	P
USGS	03290500	2013-06-25 18:45	EDT	9.65	P	2820	P
USGS	03290500	2013-06-25 19:00	EDT	9.64	P	2800	P
USGS	03290500	2013-06-25 19:15	EDT	9.65	P	2820	P
USGS	03290500	2013-06-25 19:30	EDT	9.65	P	2820	P
USGS	03290500	2013-06-25 19:45	EDT	9.64	P	2800	P
USGS	03290500	2013-06-25 20:00	EDT	9.64	P	2800	P
USGS	03290500	2013-06-25 20:15	EDT	9.64	P	2800	P
USGS	03290500	2013-06-25 20:30	EDT	9.64	P	2800	P
USGS	03290500	2013-06-25 20:45	EDT	9.63	P	2780	P
USGS	03290500	2013-06-25 21:00	EDT	9.63	P	2780	P
USGS	03290500	2013-06-25 21:15	EDT	9.63	P	2780	P
USGS	03290500	2013-06-25 21:30	EDT	9.63	P	2780	P
USGS	03290500	2013-06-25 21:45	EDT	9.63	P	2780	P
USGS	03290500	2013-06-25 22:00	EDT	9.62	P	2750	P
USGS	03290500	2013-06-25 22:15	EDT	9.62	P	2750	P
USGS	03290500	2013-06-25 22:30	EDT	9.63	P	2780	P
USGS	03290500	2013-06-25 22:45	EDT	9.62	P	2750	P
USGS	03290500	2013-06-25 23:00	EDT	9.61	P	2730	P
USGS	03290500	2013-06-25 23:15	EDT	9.62	P	2750	P
USGS	03290500	2013-06-25 23:30	EDT	9.61	P	2730	P
USGS	03290500	2013-06-25 23:45	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 00:00	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 00:15	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 00:30	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 00:45	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 01:00	EDT	9.60	P	2710	P
USGS	03290500	2013-06-26 01:15	EDT	9.60	P	2710	P
USGS	03290500	2013-06-26 01:30	EDT	9.62	P	2750	P
USGS	03290500	2013-06-26 01:45	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 02:00	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 02:15	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 02:30	EDT	9.62	P	2750	P
USGS	03290500	2013-06-26 02:45	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 03:00	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 03:15	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 03:30	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 03:45	EDT	9.63	P	2780	P
USGS	03290500	2013-06-26 04:00	EDT	9.64	P	2800	P
USGS	03290500	2013-06-26 04:15	EDT	9.62	P	2750	P
USGS	03290500	2013-06-26 04:30	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 04:45	EDT	9.63	P	2780	P
USGS	03290500	2013-06-26 05:00	EDT	9.65	P	2820	P
USGS	03290500	2013-06-26 05:15	EDT	9.63	P	2780	P
USGS	03290500	2013-06-26 05:30	EDT	9.65	P	2820	P
USGS	03290500	2013-06-26 05:45	EDT	9.68	P	2900	P
USGS	03290500	2013-06-26 06:00	EDT	9.67	P	2870	P
USGS	03290500	2013-06-26 06:15	EDT	9.68	P	2900	P
USGS	03290500	2013-06-26 06:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 06:45	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 07:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 07:15	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 07:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 07:45	EDT	9.67	P	2870	P
USGS	03290500	2013-06-26 08:00	EDT	9.67	P	2870	P
USGS	03290500	2013-06-26 08:15	EDT	9.67	P	2870	P
USGS	03290500	2013-06-26 08:30	EDT	9.67	P	2870	P
USGS	03290500	2013-06-26 08:45	EDT	9.68	P	2900	P
USGS	03290500	2013-06-26 09:00	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 09:15	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 09:30	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 09:45	EDT	9.70	P	2940	P
USGS	03290500	2013-06-26 10:00	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 10:15	EDT	9.70	P	2940	P
USGS	03290500	2013-06-26 10:30	EDT	9.70	P	2940	P
USGS	03290500	2013-06-26 10:45	EDT	9.70	P	2940	P
USGS	03290500	2013-06-26 11:00	EDT	9.71	P	2970	P
USGS	03290500	2013-06-26 11:15	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 11:30	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 11:45	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 12:00	EDT	9.70	P	2940	P
USGS	03290500	2013-06-26 12:15	EDT	9.70	P	2940	P
USGS	03290500	2013-06-26 12:30	EDT	9.70	P	2940	P
USGS	03290500	2013-06-26 12:45	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 13:00	EDT	9.70	P	2940	P
USGS	03290500	2013-06-26 13:15	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 13:30	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 13:45	EDT	9.71	P	2970	P
USGS	03290500	2013-06-26 14:00	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 14:15	EDT	9.68	P	2900	P
USGS	03290500	2013-06-26 14:30	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 14:45	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 15:00	EDT	9.68	P	2900	P
USGS	03290500	2013-06-26 15:15	EDT	9.68	P	2900	P
USGS	03290500	2013-06-26 15:30	EDT	9.68	P	2900	P
USGS	03290500	2013-06-26 15:45	EDT	9.68	P	2900	P
USGS	03290500	2013-06-26 16:00	EDT	9.67	P	2870	P
USGS	03290500	2013-06-26 16:15	EDT	9.68	P	2900	P
USGS	03290500	2013-06-26 16:30	EDT	9.69	P	2920	P
USGS	03290500	2013-06-26 16:45	EDT	9.67	P	2870	P
USGS	03290500	2013-06-26 17:00	EDT	9.67	P	2870	P
USGS	03290500	2013-06-26 17:15	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 17:30	EDT	9.63	P	2780	P
USGS	03290500	2013-06-26 17:45	EDT	9.65	P	2820	P
USGS	03290500	2013-06-26 18:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 18:15	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 18:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 18:45	EDT	9.63	P	2780	P
USGS	03290500	2013-06-26 19:00	EDT	9.63	P	2780	P
USGS	03290500	2013-06-26 19:15	EDT	9.63	P	2780	P
USGS	03290500	2013-06-26 19:30	EDT	9.65	P	2820	P
USGS	03290500	2013-06-26 19:45	EDT	9.63	P	2780	P
USGS	03290500	2013-06-26 20:00	EDT	9.63	P	2780	P
USGS	03290500	2013-06-26 20:15	EDT	9.62	P	2750	P
USGS	03290500	2013-06-26 20:30	EDT	9.61	P	2730	P
USGS	03290500	2013-06-26 20:45	EDT	9.62	P	2750	P
USGS	03290500	2013-06-26 21:00	EDT	9.62	P	2750	P
USGS	03290500	2013-06-26 21:15	EDT	9.60	P	2710	P
USGS	03290500	2013-06-26 21:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-26 21:45	EDT	9.64	P	2800	P
USGS	03290500	2013-06-26 22:00	EDT	9.64	P	2800	P
USGS	03290500	2013-06-26 22:15	EDT	9.72	P	2990	P
USGS	03290500	2013-06-26 22:30	EDT	9.78	P	3140	P
USGS	03290500	2013-06-26 22:45	EDT	9.89	P	3420	P
USGS	03290500	2013-06-26 23:00	EDT	9.88	P	3390	P
USGS	03290500	2013-06-26 23:15	EDT	9.96	P	3600	P
USGS	03290500	2013-06-26 23:30	EDT	10.03	P	3780	P
USGS	03290500	2013-06-26 23:45	EDT	10.05	P	3830	P
USGS	03290500	2013-06-27 00:00	EDT	10.18	P	4180	P
USGS	03290500	2013-06-27 00:15	EDT	10.38	P	4740	P
USGS	03290500	2013-06-27 00:30	EDT	10.47	P	4980	P
USGS	03290500	2013-06-27 00:45	EDT	10.60	P	5330	P
USGS	03290500	2013-06-27 01:00	EDT	10.78	P	5830	P
USGS	03290500	2013-06-27 01:15	EDT	10.89	P	6160	P
USGS	03290500	2013-06-27 01:30	EDT	11.11	P	6820	P
USGS	03290500	2013-06-27 01:45	EDT	11.28	P	7350	P
USGS	03290500	2013-06-27 02:00	EDT	11.43	P	7840	P
USGS	03290500	2013-06-27 02:15	EDT	11.53	P	8170	P
USGS	03290500	2013-06-27 02:30	EDT	11.59	P	8370	P
USGS	03290500	2013-06-27 02:45	EDT	11.69	P	8700	P
USGS	03290500	2013-06-27 03:00	EDT	11.76	P	8940	P
USGS	03290500	2013-06-27 03:15	EDT	11.81	P	9110	P
USGS	03290500	2013-06-27 03:30	EDT	11.87	P	9320	P
USGS	03290500	2013-06-27 03:45	EDT	11.89	P	9390	P
USGS	03290500	2013-06-27 04:00	EDT	11.92	P	9490	P
USGS	03290500	2013-06-27 04:15	EDT	11.96	P	9630	P
USGS	03290500	2013-06-27 04:30	EDT	12.00	P	9770	P
USGS	03290500	2013-06-27 04:45	EDT	12.03	P	9880	P
USGS	03290500	2013-06-27 05:00	EDT	12.07	P	10000	P
USGS	03290500	2013-06-27 05:15	EDT	12.10	P	10100	P
USGS	03290500	2013-06-27 05:30	EDT	12.13	P	10200	P
USGS	03290500	2013-06-27 05:45	EDT	12.19	P	10400	P
USGS	03290500	2013-06-27 06:00	EDT	12.22	P	10600	P
USGS	03290500	2013-06-27 06:15	EDT	12.28	P	10800	P
USGS	03290500	2013-06-27 06:30	EDT	12.33	P	11000	P
USGS	03290500	2013-06-27 06:45	EDT	12.36	P	11100	P
USGS	03290500	2013-06-27 07:00	EDT	12.41	P	11200	P
USGS	03290500	2013-06-27 07:15	EDT	12.44	P	11400	P
USGS	03290500	2013-06-27 07:30	EDT	12.47	P	11500	P
USGS	03290500	2013-06-27 07:45	EDT	12.52	P	11700	P
USGS	03290500	2013-06-27 08:00	EDT	12.57	P	11800	P
USGS	03290500	2013-06-27 08:15	EDT	12.61	P	12000	P
USGS	03290500	2013-06-27 08:30	EDT	12.64	P	12100	P
USGS	03290500	2013-06-27 08:45	EDT	12.68	P	12300	P
USGS	03290500	2013-06-27 09:00	EDT	12.72	P	12400	P
USGS	03290500	2013-06-27 09:15	EDT	12.74	P	12500	P
USGS	03290500	2013-06-27 09:30	EDT	12.78	P	12600	P
USGS	03290500	2013-06-27 09:45	EDT	12.82	P	12800	P
USGS	03290500	2013-06-27 10:00	EDT	12.83	P	12800	P
USGS	03290500	2013-06-27 10:15	EDT	12.86	P	12900	P
USGS	03290500	2013-06-27 10:30	EDT	12.90	P	13100	P
USGS	03290500	2013-06-27 10:45	EDT	12.91	P	13100	P
USGS	03290500	2013-06-27 11:00	EDT	12.94	P	13300	P
USGS	03290500	2013-06-27 11:15	EDT	12.96	P	13300	P
USGS	03290500	2013-06-27 11:30	EDT	12.99	P	13500	P
USGS	03290500	2013-06-27 11:45	EDT	13.01	P	13500	P
USGS	03290500	2013-06-27 12:00	EDT	13.03	P	13600	P
USGS	03290500	2013-06-27 12:15	EDT	13.05	P	13700	P
USGS	03290500	2013-06-27 12:30	EDT	13.06	P	13700	P
USGS	03290500	2013-06-27 12:45	EDT	13.10	P	13900	P
USGS	03290500	2013-06-27 13:00	EDT	13.12	P	14000	P
USGS	03290500	2013-06-27 13:15	EDT	13.14	P	14000	P
USGS	03290500	2013-06-27 13:30	EDT	13.17	P	14200	P
USGS	03290500	2013-06-27 13:45	EDT	13.19	P	14200	P
USGS	03290500	2013-06-27 14:00	EDT	13.21	P	14300	P
USGS	03290500	2013-06-27 14:15	EDT	13.24	P	14400	P
USGS	03290500	2013-06-27 14:30	EDT	13.26	P	14500	P
USGS	03290500	2013-06-27 14:45	EDT	13.29	P	14600	P
USGS	03290500	2013-06-27 15:00	EDT	13.30	P	14700	P
USGS	03290500	2013-06-27 15:15	EDT	13.33	P	14800	P
USGS	03290500	2013-06-27 15:30	EDT	13.34	P	14800	P
USGS	03290500	2013-06-27 15:45	EDT	13.36	P	14900	P
USGS	03290500	2013-06-27 16:00	EDT	13.38	P	15000	P
USGS	03290500	2013-06-27 16:15	EDT	13.42	P	15200	P
USGS	03290500	2013-06-27 16:30	EDT	13.45	P	15300	P
USGS	03290500	2013-06-27 16:45	EDT	13.47	P	15400	P
USGS	03290500	2013-06-27 17:00	EDT	13.49	P	15500	P
USGS	03290500	2013-06-27 17:15	EDT	13.52	P	15600	P
USGS	03290500	2013-06-27 17:30	EDT	13.55	P	15700	P
USGS	03290500	2013-06-27 17:45	EDT	13.56	P	15800	P
USGS	03290500	2013-06-27 18:00	EDT	13.59	P	15900	P
USGS	03290500	2013-06-27 18:15	EDT	13.63	P	16100	P
USGS	03290500	2013-06-27 18:30	EDT	13.65	P	16200	P
USGS	03290500	2013-06-27 18:45	EDT	13.67	P	16300	P
USGS	03290500	2013-06-27 19:00	EDT	13.69	P	16400	P
USGS	03290500	2013-06-27 19:15	EDT	13.72	P	16500	P
USGS	03290500	2013-06-27 19:30	EDT	13.76	P	16700	P
USGS	03290500	2013-06-27 19:45	EDT	13.79	P	16900	P
USGS	03290500	2013-06-27 20:00	EDT	13.84	P	17100	P
USGS	03290500	2013-06-27 20:15	EDT	13.85	P	17200	P
USGS	03290500	2013-06-27 20:30	EDT	13.89	P	17400	P
USGS	03290500	2013-06-27 20:45	EDT	13.94	P	17600	P
USGS	03290500	2013-06-27 21:00	EDT	13.95	P	17700	P
USGS	03290500	2013-06-27 21:15	EDT	13.99	P	17900	P
USGS	03290500	2013-06-27 21:30	EDT	14.00	P	17900	P
USGS	03290500	2013-06-27 21:45	EDT	14.04	P	18100	P
USGS	03290500	2013-06-27 22:00	EDT	14.06	P	18200	P
USGS	03290500	2013-06-27 22:15	EDT	14.12	P	18500	P
USGS	03290500	2013-06-27 22:30	EDT	14.14	P	18600	P
USGS	03290500	2013-06-27 22:45	EDT	14.17	P	18700	P
USGS	03290500	2013-06-27 23:00	EDT	14.20	P	18800	P
USGS	03290500	2013-06-27 23:15	EDT	14.24	P	19000	P
USGS	03290500	2013-06-27 23:30	EDT	14.27	P	19200	P
USGS	03290500	2013-06-27 23:45	EDT	14.29	P	19300	P
USGS	03290500	2013-06-28 00:00	EDT	14.33	P	19500	P
USGS	03290500	2013-06-28 00:15	EDT	14.36	P	19600	P
USGS	03290500	2013-06-28 00:30	EDT	14.37	P	19700	P
USGS	03290500	2013-06-28 00:45	EDT	14.41	P	19800	P
USGS	03290500	2013-06-28 01:00	EDT	14.45	P	20000	P
USGS	03290500	2013-06-28 01:15	EDT	14.48	P	20100	P
USGS	03290500	2013-06-28 01:30	EDT	14.49	P	20200	P
USGS	03290500	2013-06-28 01:45	EDT	14.52	P	20200	P
USGS	03290500	2013-06-28 02:00	EDT	14.54	P	20200	P
USGS	03290500	2013-06-28 02:15	EDT	14.57	P	20200	P
USGS	03290500	2013-06-28 02:30	EDT	14.60	P	20200	P
USGS	03290500	2013-06-28 02:45	EDT	14.60	P	20400	P
USGS	03290500	2013-06-28 03:00	EDT	14.65	P	20800	P
USGS	03290500	2013-06-28 03:15	EDT	14.66	P	20700	P
USGS	03290500	2013-06-28 03:30	EDT	14.68	P	21000	P
USGS	03290500	2013-06-28 03:45	EDT	14.71	P	20700	P
USGS	03290500	2013-06-28 04:00	EDT	14.70	P	20800	P
USGS	03290500	2013-06-28 04:15	EDT	14.72	P	21000	P
USGS	03290500	2013-06-28 04:30	EDT	14.74	P	20800	P
USGS	03290500	2013-06-28 04:45	EDT	14.75	P	20900	P
USGS	03290500	2013-06-28 05:00	EDT	14.77	P	20800	P
USGS	03290500	2013-06-28 05:15	EDT	14.79	P	20800	P
USGS	03290500	2013-06-28 05:30	EDT	14.80	P	20800	P
USGS	03290500	2013-06-28 05:45	EDT	14.82	P	20700	P
USGS	03290500	2013-06-28 06:00	EDT	14.81	P	20800	P
USGS	03290500	2013-06-28 06:15	EDT	14.84	P	20400	P
USGS	03290500	2013-06-28 06:30	EDT	14.86	P	20400	P
USGS	03290500	2013-06-28 06:45	EDT	14.83	P	20600	P
USGS	03290500	2013-06-28 07:00	EDT	14.85	P	20500	P
USGS	03290500	2013-06-28 07:15	EDT	14.82	P	20500	P
USGS	03290500	2013-06-28 07:30	EDT	14.84	P	20300	P
USGS	03290500	2013-06-28 07:45	EDT	14.84	P	20500	P
USGS	03290500	2013-06-28 08:00	EDT	14.83	P	20700	P
USGS	03290500	2013-06-28 08:15	EDT	14.83	P	20600	P
USGS	03290500	2013-06-28 08:30	EDT	14.82	P	20400	P
USGS	03290500	2013-06-28 08:45	EDT	14.81	P	20100	P
USGS	03290500	2013-06-28 09:00	EDT	14.79	P	20000	P
USGS	03290500	2013-06-28 09:15	EDT	14.81	P	20300	P
USGS	03290500	2013-06-28 09:30	EDT	14.78	P	20300	P
USGS	03290500	2013-06-28 09:45	EDT	14.77	P	20300	P
USGS	03290500	2013-06-28 10:00	EDT	14.76	P	20300	P
USGS	03290500	2013-06-28 10:15	EDT	14.74	P	20100	P
USGS	03290500	2013-06-28 10:30	EDT	14.73	P	20400	P
USGS	03290500	2013-06-28 10:45	EDT	14.71	P	20400	P
USGS	03290500	2013-06-28 11:00	EDT	14.69	P	20200	P
USGS	03290500	2013-06-28 11:15	EDT	14.68	P	20100	P
USGS	03290500	2013-06-28 11:30	EDT	14.65	P	20200	P
USGS	03290500	2013-06-28 11:45	EDT	14.64	P	20300	P
USGS	03290500	2013-06-28 12:00	EDT	14.62	P	20200	P
USGS	03290500	2013-06-28 12:15	EDT	14.57	P	20000	P
USGS	03290500	2013-06-28 12:30	EDT	14.58	P	20200	P
USGS	03290500	2013-06-28 12:45	EDT	14.55	P	19900	P
USGS	03290500	2013-06-28 13:00	EDT	14.51	P	20300	P
USGS	03290500	2013-06-28 13:15	EDT	14.48	P	20100	P
USGS	03290500	2013-06-28 13:30	EDT	14.46	P	20100	P
USGS	03290500	2013-06-28 13:45	EDT	14.43	P	19900	P
USGS	03290500	2013-06-28 14:00	EDT	14.42	P	19900	P
USGS	03290500	2013-06-28 14:15	EDT	14.38	P	19700	P
USGS	03290500	2013-06-28 14:30	EDT	14.35	P	19600	P
USGS	03290500	2013-06-28 14:45	EDT	14.34	P	19500	P
USGS	03290500	2013-06-28 15:00	EDT	14.30	P	19300	P
USGS	03290500	2013-06-28 15:15	EDT	14.27	P	19200	P
USGS	03290500	2013-06-28 15:30	EDT	14.25	P	19100	P
USGS	03290500	2013-06-28 15:45	EDT	14.22	P	18900	P
USGS	03290500	2013-06-28 16:00	EDT	14.18	P	18700	P
USGS	03290500	2013-06-28 16:15	EDT	14.17	P	18700	P
USGS	03290500	2013-06-28 16:30	EDT	14.12	P	18500	P
USGS	03290500	2013-06-28 16:45	EDT	14.09	P	18300	P
USGS	03290500	2013-06-28 17:00	EDT	14.08	P	18300	P
USGS	03290500	2013-06-28 17:15	EDT	14.04	P	18100	P
USGS	03290500	2013-06-28 17:30	EDT	14.01	P	17900	P
USGS	03290500	2013-06-28 17:45	EDT	13.98	P	17800	P
USGS	03290500	2013-06-28 18:00	EDT	13.97	P	17800	P
USGS	03290500	2013-06-28 18:15	EDT	13.92	P	17500	P
USGS	03290500	2013-06-28 18:30	EDT	13.90	P	17400	P
USGS	03290500	2013-06-28 18:45	EDT	13.87	P	17300	P
USGS	03290500	2013-06-28 19:00	EDT	13.83	P	17100	P
USGS	03290500	2013-06-28 19:15	EDT	13.81	P	17000	P
USGS	03290500	2013-06-28 19:30	EDT	13.76	P	16700	P
USGS	03290500	2013-06-28 19:45	EDT	13.75	P	16700	P
USGS	03290500	2013-06-28 20:00	EDT	13.71	P	16500	P
USGS	03290500	2013-06-28 20:15	EDT	13.68	P	16300	P
USGS	03290500	2013-06-28 20:30	EDT	13.64	P	16200	P
USGS	03290500	2013-06-28 20:45	EDT	13.63	P	16100	P
USGS	03290500	2013-06-28 21:00	EDT	13.60	P	16000	P
USGS	03290500	2013-06-28 21:15	EDT	13.60	P	16000	P
USGS	03290500	2013-06-28 21:30	EDT	13.54	P	15700	P
USGS	03290500	2013-06-28 21:45	EDT	13.54	P	15700	P
USGS	03290500	2013-06-28 22:00	EDT	13.50	P	15500	P
USGS	03290500	2013-06-28 22:15	EDT	13.45	P	15300	P
USGS	03290500	2013-06-28 22:30	EDT	13.45	P	15300	P
USGS	03290500	2013-06-28 22:45	EDT	13.47	P	15400	P
USGS	03290500	2013-06-28 23:00	EDT	13.38	P	15000	P
